store_id,retailer,retailer_key,address,zip_code,full_address,latitude,longitude,geocode_source,geocode_confidence
554,United Supermarkets,shopunitedsupermarkets,300 E Commerce St,76801,"300 E Commerce St, Brownwood, TX 76801",31.7754,-98.9915,zip_centroid,zip_centroid
1545,United Supermarkets,shopunitedsupermarkets,1095 Judge Ely Blvd,79601,"1095 Judge Ely Blvd, Abilene, TX 79601",32.4682,-99.7182,zip_centroid,zip_centroid
3547,United Supermarkets,shopunitedsupermarkets,920 N Willis St,79603,"920 N Willis St, Abilene, TX 79603",32.4679,-99.7619,zip_centroid,zip_centroid
4548,United Supermarkets,shopunitedsupermarkets,3301 S 14th St,79605,"3301 S 14th St, Abilene, TX 79605",32.432,-99.7724,zip_centroid,zip_centroid
679,Market Street,shopmarketstreet,4450 Buffalo Gap Rd,79606,"4450 Buffalo Gap Rd, Abilene, TX 79606",32.392,-99.7746,zip_centroid,zip_centroid
167,United Supermarkets,shopunitedsupermarkets,521 S Access Rd W,79510,"521 S Access Rd W, Clyde, TX 79510",32.3803,-99.5184,zip_centroid,zip_centroid
152,United Supermarkets,shopunitedsupermarkets,1207 W Walker St,76424,"1207 W Walker St, Breckenridge, TX 76424",32.7532,-98.9099,zip_centroid,zip_centroid
4549,United Supermarkets,shopunitedsupermarkets,3500 College Ave,79549,"3500 College Ave, Snyder, TX 79549",32.7451,-100.9175,zip_centroid,zip_centroid
620,United Supermarkets,shopunitedsupermarkets,1229 Hwy 16 S,76450,"1229 Hwy 16 S, Graham, TX 76450",33.0993,-98.5832,zip_centroid,zip_centroid
146,United Supermarkets,shopunitedsupermarkets,202 N Main St,76380,"202 N Main St, Seymour, TX 76380",33.5914,-99.2587,zip_centroid,zip_centroid
78,Market Street,shopmarketstreet,3121 Sunset Dr,76904,"3121 Sunset Dr, San Angelo, TX 76904",31.4194,-100.48,zip_centroid,zip_centroid
612,United Supermarkets,shopunitedsupermarkets,123 N Broadway St,79356,"123 N Broadway St, Post, TX 79356",33.2017,-101.3922,zip_centroid,zip_centroid
634,United Supermarkets,shopunitedsupermarkets,2720 Southwest Prkwy,76308,"2720 Southwest Prkwy, Wichita Falls, TX 76308",33.8633,-98.534,zip_centroid,zip_centroid
417,Market Street,shopmarketstreet,4590 Kell Blvd,76309,"4590 Kell Blvd, Wichita Falls, TX 76309",33.8931,-98.5343,zip_centroid,zip_centroid
1313,United Supermarkets,shopunitedsupermarkets,2900 Wilbarger Ave,76384,"2900 Wilbarger Ave, Vernon, TX 76384",34.1491,-99.303,zip_centroid,zip_centroid
1216,United Supermarkets,shopunitedsupermarkets,4516 Old Jacksboro Hwy,76302,"4516 Old Jacksboro Hwy, Wichita Falls, TX 76302",33.8643,-98.494,zip_centroid,zip_centroid
221,United Supermarkets,shopunitedsupermarkets,2522 Iowa Park Rd,76306,"2522 Iowa Park Rd, Wichita Falls, TX 76306",33.9519,-98.5145,zip_centroid,zip_centroid
3214,United Supermarkets,shopunitedsupermarkets,1000 W 11th St,79252,"1000 W 11th St, Quanah, TX 79252",34.2955,-99.7494,zip_centroid,zip_centroid
4515,United Supermarkets,shopunitedsupermarkets,311 S Ave D,76354,"311 S Ave D, Burkburnett, TX 76354",34.086,-98.5708,zip_centroid,zip_centroid
2540,United Supermarkets,shopunitedsupermarkets,2302 Lubbock Hwy,79331,"2302 Lubbock Hwy, Lamesa, TX 79331",32.7367,-101.9569,zip_centroid,zip_centroid
2211,United Supermarkets,shopunitedsupermarkets,615 S Hwy 84,79364,"615 S Hwy 84, Slaton, TX 79364",33.4373,-101.6435,zip_centroid,zip_centroid
